Microsoft (R) COFF/PE Dumper Version 9.00.21022.08
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file dui70.dll

File Type: DLL

  Section contains the following exports for DUI70.dll

    00000000 characteristics
    4A5BC606 time date stamp Mon Jul 13 19:40:54 2009
        0.00 version
           1 ordinal base
        3261 number of functions
        3261 number of names

    ordinal hint RVA      name

          1    0 0006F738 ??0?$PatternProvider@VExpandCollapseProvider@DirectUI@@UIExpandCollapseProvider@@$00@DirectUI@@QEAA@XZ
          2    1 00071E20 ??0?$PatternProvider@VGridItemProvider@DirectUI@@UIGridItemProvider@@$01@DirectUI@@QEAA@XZ
          3    2 00072748 ??0?$PatternProvider@VGridProvider@DirectUI@@UIGridProvider@@$02@DirectUI@@QEAA@XZ
          4    3 0006F600 ??0?$PatternProvider@VInvokeProvider@DirectUI@@UIInvokeProvider@@$0A@@DirectUI@@QEAA@XZ
          5    4 0006FA34 ??0?$PatternProvider@VRangeValueProvider@DirectUI@@UIRangeValueProvider@@$03@DirectUI@@QEAA@XZ
          6    5 000737AC ??0?$PatternProvider@VScrollItemProvider@DirectUI@@UIScrollItemProvider@@$05@DirectUI@@QEAA@XZ
          7    6 0006F8F8 ??0?$PatternProvider@VScrollProvider@DirectUI@@UIScrollProvider@@$04@DirectUI@@QEAA@XZ
          8    7 0006F818 ??0?$PatternProvider@VSelectionItemProvider@DirectUI@@UISelectionItemProvider@@$06@DirectUI@@QEAA@XZ
          9    8 0007527C ??0?$PatternProvider@VSelectionProvider@DirectUI@@UISelectionProvider@@$07@DirectUI@@QEAA@XZ
         10    9 00075A78 ??0?$PatternProvider@VTableItemProvider@DirectUI@@UITableItemProvider@@$09@DirectUI@@QEAA@XZ
         11    A 00076548 ??0?$PatternProvider@VTableProvider@DirectUI@@UITableProvider@@$08@DirectUI@@QEAA@XZ
         12    B 00076C4C ??0?$PatternProvider@VToggleProvider@DirectUI@@UIToggleProvider@@$0L@@DirectUI@@QEAA@XZ
         13    C 00078214 ??0?$PatternProvider@VValueProvider@DirectUI@@UIValueProvider@@$0M@@DirectUI@@QEAA@XZ
         14    D 000715E0 ??0?$SafeArrayAccessor@H@DirectUI@@QEAA@XZ
         15    E 00067CB0 ??0AccessibleButton@DirectUI@@QEAA@AEBV01@@Z
         16    F 00033DD0 ??0AccessibleButton@DirectUI@@QEAA@XZ
         17   10 00066998 ??0AnimationStrip@DirectUI@@QEAA@AEBV01@@Z
         18   11 00066B6C ??0AnimationStrip@DirectUI@@QEAA@XZ
         19   12 00067D2C ??0AutoButton@DirectUI@@QEAA@AEBV01@@Z
         20   13 00067D08 ??0AutoButton@DirectUI@@QEAA@XZ
         21   14 0001E174 ??0AutoLock@DirectUI@@QEAA@PEAU_RTL_CRITICAL_SECTION@@@Z
         22   15 0005806C ??0AutoThread@DirectUI@@QEAA@XZ
         23   16 0005AF10 ??0AutoVariant@DirectUI@@QEAA@XZ
         24   17 00063928 ??0BaseScrollBar@DirectUI@@QEAA@AEBV01@@Z
         25   18 00063914 ??0BaseScrollBar@DirectUI@@QEAA@XZ
         26   19 00065C14 ??0BaseScrollViewer@DirectUI@@QEAA@AEBV01@@Z
